"club","hall","weekday","capacity"
"DJK Adler Brakel","1","friday",""
"DJK Adler Brakel","1","monday",""
"DJK Adler Brakel","1","saturday",""
"DJK Adler Brakel","1","sunday",""
"FC Bühne 1929","1","friday",""
"FC Bühne 1929","1","sunday",""
"FC Bühne 1929","2","saturday",""
"SC GW Paderborn","1","friday",""
"SC GW Paderborn","1","monday",""
"SC GW Paderborn","1","sunday",""
"Sportverein 1930 Bergheim","1","friday",""
"Sportverein 1930 Bergheim","1","saturday",""
"Sportverein 1930 Bergheim","1","thursday",""
"Sportverein 1930 Bergheim","1","tuesday",""
"Sportverein 1930 Bergheim","2","wednesday",""
"SV Bavenhausen","1","friday",""
"SV Bavenhausen","1","monday",""
"SV Blau-Weiß Benhausen","1","friday",""
"SV Blau-Weiß Benhausen","1","tuesday",""
"SV BW Etteln","1","friday",""
"SV Heide Paderborn","1","friday",""
"SV Heide Paderborn","1","monday",""
"SV Heide Paderborn","1","thursday",""
"SV Heide Paderborn","1","wednesday",""
"SV Menne","1","friday",""
"SV Menne","1","saturday",""
"SV Menne","1","sunday",""
"SV Menne","1","thursday",""
"SV Rot-Weiß Alfen","1","friday",""
"SV Rot-Weiß Alfen","1","monday",""
"SV Rot-Weiß Alfen","1","sunday",""
"SV Rot-Weiß Alfen","1","wednesday",""
"SV Rot-Weiß Bentfeld","1","friday",""
"SV Rot-Weiß Bentfeld","1","tuesday",""
"SV Teutonia Ossendorf","1","friday",""
"SV Teutonia Ossendorf","1","monday",""
"SV Teutonia Ossendorf","1","saturday",""
"SV Teutonia Ossendorf","1","sunday",""
"SV Vörden","1","friday",""
"SV Vörden","1","sunday",""
"SV Vörden","1","thursday",""
"Tischtennisverein Höxter","2","friday",""
"Tischtennisverein Höxter","2","saturday",""
"Tischtennisverein Höxter","3","friday",""
"Tischtennisverein Höxter","3","monday",""
"TSV Eintracht Belle","1","friday",""
"TSV Eintracht Belle","1","saturday",""
"TSV Eintracht Belle","1","tuesday",""
"TSV Eintracht Belle","1","wednesday",""
"TSV Schloß Neuhaus","1","friday",""
"TSV Schloß Neuhaus","1","monday",""
"TSV Schloß Neuhaus","1","sunday",""
"TSV Schloß Neuhaus","1","wednesday",""
"TTC Paderborn e.V.","1","friday",""
"TTC Paderborn e.V.","1","monday",""
"TTG Ikenhausen","1","saturday",""
"TTG Ikenhausen","1","sunday",""
"TTG Ikenhausen","1","thursday",""
"TTG Ikenhausen","1","wednesday",""
"TTG Lemgo e.V.","1","friday",""
"TTG Lemgo e.V.","1","monday",""
"TTS Detmold e.V.","1","friday",""
"TTS Detmold e.V.","3","friday",""
"TTS Detmold e.V.","3","tuesday",""
"TTSG Erder","1","friday",""
"TTSG Erder","1","saturday",""
"TTSG Erder","1","thursday",""
"TTV Hövelhof","1","friday",""
"TTV Hövelhof","1","monday",""
"TTV Hövelhof","1","wednesday",""
"TTV Lage e.V.","1","friday",""
"TTV Lage e.V.","1","monday",""
"TTV Lage e.V.","1","tuesday",""
"TTV Lage e.V.","2","thursday",""
"TTV Lage e.V.","3","friday",""
"TTV Lage e.V.","3","saturday",""
"TTV Lage e.V.","3","sunday",""
"TTV Lage e.V.","3","thursday",""
"TTV Salzkotten","1","friday",""
"TTV Salzkotten","1","saturday",""
"TTV Salzkotten","1","sunday",""
"TTV Salzkotten","1","wednesday",""
"TTV Warburg","1","friday",""
"TTV Warburg","1","saturday",""
"TTV Warburg","1","sunday",""
"TTV Warburg","1","thursday",""
"TuRa Elsen","1","friday",""
"TuRa Elsen","1","saturday",""
"TuRa Elsen","1","sunday",""
"TuRa Elsen","2","saturday",""
"TuS Bad Driburg","1","friday",""
"TuS Bad Driburg","1","monday",""
"TuS Bad Driburg","1","saturday",""
"TuS Bad Driburg","1","sunday",""
"TuS Bad Wünnenberg","1","saturday",""
"TuS Bad Wünnenberg","1","sunday",""
"TuS Bad Wünnenberg","1","thursday",""
"TuS Bexterhagen","1","friday",""
"TuS Bexterhagen","1","monday",""
"TuS Bexterhagen","1","sunday",""
"TuS Bexterhagen","1","tuesday",""
"TuS Bexterhagen","1","wednesday",""
"TuS Bexterhagen","2","thursday",""
"TuS Helpup","1","friday",""
"TuS Helpup","1","saturday",""
