league,group,division,team,rasterzahl
Verbandsliga 1 Erwachsene,Verbandsliga 1 Erwachsene,Erwachsene,TuRa Elsen,5
Landesliga 1 Erwachsene,Landesliga 1 Erwachsene,Erwachsene,TuRa Elsen II,11
Landesliga 1 Erwachsene,Landesliga 1 Erwachsene,Erwachsene,TuRa Elsen III,5
Landesliga 1 Erwachsene,Landesliga 1 Erwachsene,Erwachsene,DJK Adler Brakel,4
Verbandsliga 1 Damen,Verbandsliga 1 Damen,Damen,SV Menne,4
Verbandsliga 1 Damen,Verbandsliga 1 Damen,Damen,TTV Lage,9
Verbandsliga 1 Jugend,Verbandsliga 1 Jugend,Jugend 19,TTV Salzkotten,1
Verbandsliga 1 Jugend,Verbandsliga 1 Jugend,Jugend 19,SV Teutonia Ossendorf,3
Verbandsliga 1 Jugend,Verbandsliga 1 Jugend,Jugend 19,DJK Adler Brakel,4
NRW-Liga Mädchen,NRW-Liga Mädchen,Mädchen 19,SV Menne,7
